,Product Description,,Unit Price (CAD),Qty,Total,Product Link
,Arduino Uno R3,,5.36,1,5.36,https://www.aliexpress.com/item/1005009463538789.html?spm=a2g0o.productlist.main.8.2909bA9xbA9xmH&algo_pvid=ba303fd0-b3f9-4771-be8a-bdfbbccfc337&algo_exp_id=ba303fd0-b3f9-4771-be8a-bdfbbccfc337-14&pdp_ext_f=%7B%22order%22%3A%22719%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%215.36%211.42%21%21%2125.35%216.70%21%402101d97817814765100936843e3d4f%2112000049184185335%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207285309&curPageLogUid=8Lz2kQZ5MYqX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009463538789%7C_p_origin_prod%3A
,LCD 16 x 2,,2.23,1,2.23,https://www.aliexpress.com/item/1005011609490073.html?spm=a2g0o.productlist.main.4.594fCeppCeppnt&aem_p4p_detail=202606141535595456184578246550001874176&algo_pvid=663d9d87-a024-49f9-ad45-b625e4104d69&algo_exp_id=663d9d87-a024-49f9-ad45-b625e4104d69-3&pdp_ext_f=%7B%22order%22%3A%2228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.65%211.56%21%21%217.81%217.37%21%402103123917814765593201961eaddf%2112000056046987822%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=dKYXFKWoafUJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011609490073%7C_p_origin_prod%3A&search_p4p_id=202606141535595456184578246550001874176_1
,AA 1.5V Battery,,0.395,4,1.58,https://www.aliexpress.com/item/1005011987720458.html?spm=a2g0o.productlist.main.1.46d30Ect0Ect1D&algo_pvid=25d14902-cc21-4dad-9b74-945e6a47aa6e&algo_exp_id=25d14902-cc21-4dad-9b74-945e6a47aa6e-0&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.58%210.87%21%21%217.50%214.12%21%402103129f17814766019615394e4f28%2112000057216482008%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=UbjYgcGQ235k&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011987720458%7C_p_origin_prod%3A
,220 Ω Resistor,,0.087,10,0.87,https://www.aliexpress.com/item/1005007643210127.html?spm=a2g0o.productlist.main.1.6e67sPNBsPNBOP&algo_pvid=cfb59f74-03dc-4323-9797-aa389fe1e168&algo_exp_id=cfb59f74-03dc-4323-9797-aa389fe1e168-0&pdp_ext_f=%7B%22order%22%3A%22836%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.87%210.87%21%21%214.10%214.10%21%402101ea8c17814767567725339ee336%2112000041624997313%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=VnNRhm3IwEaL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007643210127%7C_p_origin_prod%3A
,10 Ω Resistor,,0.087,10,0.87,https://www.aliexpress.com/item/1005007643210127.html?spm=a2g0o.productlist.main.1.6e67sPNBsPNBOP&algo_pvid=cfb59f74-03dc-4323-9797-aa389fe1e168&algo_exp_id=cfb59f74-03dc-4323-9797-aa389fe1e168-0&pdp_ext_f=%7B%22order%22%3A%22836%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.87%210.87%21%21%214.10%214.10%21%402101ea8c17814767567725339ee336%2112000041624997313%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=VnNRhm3IwEaL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007643210127%7C_p_origin_prod%3A
,Vibration Motor 10mm x 2mm ,,1.28,1,1.28,https://www.aliexpress.com/item/1005006821274949.html?spm=a2g0o.productlist.main.4.3d91Qx9wQx9wLH&aem_p4p_detail=2026061415414310976112057593760001888036&algo_pvid=f4d8a3b8-9b9b-459d-bcd6-2b3a3f494044&algo_exp_id=f4d8a3b8-9b9b-459d-bcd6-2b3a3f494044-3&pdp_ext_f=%7B%22order%22%3A%221350%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.78%210.45%21%21%213.69%212.14%21%402101e80f17814769037206589e259e%2112000038411225659%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=SWakAp59MF29&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006821274949%7C_p_origin_prod%3A&search_p4p_id=2026061415414310976112057593760001888036_1
,Ec11 Rotary Encoder,,2.305,2,4.61,https://www.aliexpress.com/item/1005006056166298.html?spm=a2g0o.productlist.main.2.566b3a7bP9E8ub&algo_pvid=3a071b9d-a467-442f-bd6f-23ee21eba71a&algo_exp_id=3a071b9d-a467-442f-bd6f-23ee21eba71a-1&pdp_ext_f=%7B%22order%22%3A%2242%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.58%213.15%21%21%2121.68%2114.91%21%402103122117814769816487273ea964%2112000035526920089%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=ISHhlWvBhcbk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006056166298%7C_p_origin_prod%3A
,1000 Ω Resistor,,0.087,10,0.87,https://www.aliexpress.com/item/1005007643210127.html?spm=a2g0o.productlist.main.1.6e67sPNBsPNBOP&algo_pvid=cfb59f74-03dc-4323-9797-aa389fe1e168&algo_exp_id=cfb59f74-03dc-4323-9797-aa389fe1e168-0&pdp_ext_f=%7B%22order%22%3A%22836%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.87%210.87%21%21%214.10%214.10%21%402101ea8c17814767567725339ee336%2112000041624997313%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=VnNRhm3IwEaL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007643210127%7C_p_origin_prod%3A
,NPN Transistor (PN2222),,0.0312,50,1.56,https://www.aliexpress.com/item/1005009835608932.html?spm=a2g0o.productlist.main.4.1763QCqIQCqI3k&aem_p4p_detail=2026061415452312198267605847120001859466&algo_pvid=6762dc45-8486-4e5e-a429-e10e00ff952d&algo_exp_id=6762dc45-8486-4e5e-a429-e10e00ff952d-3&pdp_ext_f=%7B%22order%22%3A%2237%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.53%211.52%21%21%211.07%211.06%21%402101e81117814771237161296e1506%2112000050316911900%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=4sKOKjuxiQIJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009835608932%7C_p_origin_prod%3A&search_p4p_id=2026061415452312198267605847120001859466_1
Total,,,11.8622,,19.23,
